_id,user,name,number,case_quantity,description,qoh_case,qoh_units,case_weight,reorder_quantity,length,width,height,ship_ready
200,89,BJ804BS,BJ804BS,12,Suzy Reversible Duster - Black - S,0,0,15,0,0,0,0,0
201,89,BJ804BM,BJ804BM,12,Suzy Reversible Duster - Black - M,0,0,21,0,0,0,0,0
202,89,BJ804BL,BJ804BL,10,Suzy Reversible Duster - Black - L,0,0,30,0,0,0,0,0
203,89,BJ804BXL,BJ804BXL,10,Suzy Reversible Duster - Black - XL,0,0,30,0,0,0,0,0
204,89,BJ804PXS,BJ804PXS,12,Suzy Reversible Duster - Pink - XS,0,0,18,0,0,0,0,0
205,89,BJ804PS,BJ804PS,11,Suzy Reversible Duster - Pink - S,0,0,33,0,0,0,0,0
206,89,BJ804PM,BJ804PM,10,Suzy Reversible Duster - Pink - M,0,0,30,0,0,0,0,0
207,89,BJ804PL,BJ804PL,12,Suzy Reversible Duster - Pink - L,0,0,21,0,0,0,0,0
208,89,BJ804PXL,BJ804PXL,12,Suzy Revsersible Duster - Pink - XL,0,0,0,0,0,0,0,0
209,89,BJ807BXS,BJ807BXS,12,Jessie Two-Tone Jacket - Black - XS,0,0,12,0,0,0,0,0
210,89,BJ807BS,BJ807BS,12,Jessie Two-Tone Jacket - Black - S,0,0,29,0,0,0,0,0
211,89,BJ807BM,BJ807BM,18,Jessie Two-Tone Jacket - Black - M,0,0,43,0,0,0,0,0
212,89,BJ807BL,BJ807BL,20,Jessie Two-Tone Jacket - Black - L,0,0,48,0,0,0,0,0
213,89,BJ807BXL,BJ807BXL,12,Jessie Two-Tone Jacket - Black - XL,0,0,29,0,0,0,0,0
214,89,BJ807PXS,BJ807PXS,12,Jessie Two-Tone Jacket - Pink - XS,0,0,29,0,0,0,0,0
215,89,BJ807PS,BJ807PS,27,Jessie Two-Tone Jacket - Pink - S,0,0,65,0,0,0,0,0
216,89,BJ807PM,BJ807PM,27,Jessie Two-Tone Jacket - Pink - M,0,0,65,0,0,0,0,0
217,89,BJ807PL,BJ807PL,16,Jessie Two-Tone Jacket - Pink - L,0,0,38,0,0,0,0,0
218,89,BJ807PXL,BJ807PXL,12,Jessie Two-Tone Jacket - Pink - XL,0,0,14,0,0,0,0,0
219,89,BA824B,BA824B,58,Bunny Hop Mitten - Black,0,0,10,0,0,0,0,0
220,89,BA824BU,BA824BU,25,Bunny Hop Mitten - Butterscotch,0,0,4,0,0,0,0,0
221,89,BA824P,BA824P,38,Bunny Hop Mitten - Pink,0,0,7,0,0,0,0,0
222,89,BA884B,BA884B,12,Bunny Hop Toque - Black,0,0,0,0,0,0,0,0
223,89,BA884BU,BA884BU,12,Bunny Hop Toque - Butterscotch,0,0,2,0,0,0,0,0
224,89,BA884P,BA884P,12,Bunny Hop Toque - Pink,0,0,0,0,0,0,0,0
225,89,BC821BXS,BC821BXS,12,Bunny Hop Trench Coat - Black - XS,0,0,0,0,0,0,0,0
226,89,BC821BS,BC821BS,12,Bunny Hop Trench Coat - Black - S,0,0,0,0,0,0,0,0
227,89,BC821BM,BC821BM,12,Bunny Hop Trench Coat - Black - M,0,0,0,0,0,0,0,0
228,89,BC821BL,BC821BL,12,Bunny Hop Trench Coat - Black - L,0,0,0,0,0,0,0,0
229,89,BC821BXL,BC821BXL,12,Bunny Hop Trench Coat - Black - XL,0,0,0,0,0,0,0,0
230,89,BC821PXS,BC821PXS,12,Bunny Hop Trench Coat - Pink - XS,0,0,7,0,0,0,0,0
231,89,BC821PS,BC821PS,12,Bunny Hop Trench Coat - Pink - S,0,0,15,0,0,0,0,0
