_id,quantity_cases,quantity_units,item,order
165,0,8,137,146
166,0,1,108,147
167,0,1,53,148
168,0,2,74,148
169,0,2,123,148
170,0,1,134,149
171,0,9,137,150
172,0,28,137,151
173,0,24,137,152
174,0,50,66,153
175,0,25,126,154
176,1,36,91,155
177,0,8,137,156
178,3,16,38,157
179,0,30,53,158
180,0,48,43,159
181,0,48,126,160
182,0,3,137,161
183,0,8,134,162
184,5,0,138,163
185,5,0,138,164
186,5,0,138,165
187,2,44,53,166
188,0,48,123,167
189,1,2,92,168
190,2,2,99,168
191,1,48,74,169
192,0,2,137,170
193,0,10,137,171
194,0,7,134,172
195,0,10,137,173
196,0,2,137,174
197,0,28,137,175
198,0,50,1,176
199,0,6,53,177
200,0,6,123,177
201,0,2,89,178
202,0,2,85,178
203,1,14,32,179
204,0,1,1,179
205,4,14,99,180
206,0,6,53,181
207,0,6,91,181
208,2,0,137,182
209,0,4,137,183
210,4,8,53,184
211,6,12,123,184
212,1,24,74,185
213,1,24,53,185
214,1,24,123,185
215,2,4,123,186
216,1,29,141,187
217,4,14,99,188
218,0,24,134,189
219,0,4,137,190
220,0,16,137,191
221,0,6,137,192
222,0,16,137,193
223,0,1,69,194
224,0,48,123,195
225,0,24,53,196
226,4,8,53,197
227,6,12,91,197
228,1,48,64,198
229,0,1,116,199
230,0,48,11,200
231,0,1,85,200
232,0,40,24,201
233,0,1,43,202
234,0,1,9,202
235,2,4,123,202
236,0,30,43,203
237,1,4,89,204
238,1,2,85,204
239,0,96,109,205
240,0,30,110,206
241,0,10,137,207
242,1,1,118,208
243,0,1,123,209
244,0,1,91,209
245,0,1,99,209
246,0,1,92,209
247,0,1,64,209
248,0,1,123,210
249,0,1,91,210
250,0,1,99,210
251,0,1,92,210
252,0,1,64,210
253,0,24,123,211
254,0,24,53,211
255,0,24,43,211
256,0,24,91,211
257,0,20,48,212
258,0,36,53,212
259,0,24,91,212
260,0,36,123,212
261,0,48,43,212
262,0,6,32,213
263,0,25,43,214
264,0,8,137,215
265,0,10,137,216
266,0,1,173,217
267,2,4,172,218
268,0,1,99,219
269,0,20,157,220
270,0,20,157,221
271,0,1,116,222
272,0,10,91,223
273,0,9,53,223
274,0,10,123,223
275,0,10,43,223
276,0,4,189,224
277,0,4,63,224
278,0,6,92,224
279,0,6,91,224
280,0,6,43,224
281,0,12,64,225
282,0,48,91,225
283,0,48,43,225
284,0,1,46,226
285,0,10,123,227
286,0,10,53,227
287,0,1,15,228
288,0,12,64,231
289,1,0,91,231
290,1,0,43,231
291,0,1,46,232
292,0,1,123,233
293,0,1,91,233
294,0,1,99,233
295,0,1,92,233
296,0,1,64,233
297,0,1,123,234
298,0,1,91,234
299,0,1,99,234
300,0,1,92,234
301,0,1,64,234
302,0,1,20,234
303,0,1,48,234
304,0,1,141,234
305,0,1,123,235
306,0,1,91,235
307,0,1,99,235
308,0,1,92,235
309,0,1,64,235
310,1,0,43,236
311,1,0,123,236
312,0,1,116,237
313,0,12,53,238
314,0,1,123,239
315,0,1,91,239
316,0,1,99,239
317,0,1,92,239
318,0,1,64,239
319,0,50,110,240
320,0,1,116,241
321,0,1,116,242
322,0,1,123,243
323,0,1,91,243
324,0,1,99,243
325,0,1,92,243
326,0,1,64,243
327,0,24,123,244
328,0,10,74,244
329,0,24,43,244
330,0,24,53,244
331,0,15,21,245
332,1,22,126,246
333,1,2,43,247
334,1,2,91,247
335,1,2,123,247
336,1,2,53,247
337,3,6,43,248
338,1,22,124,248
339,2,15,82,249
340,0,90,110,250
341,0,8,123,251
342,0,8,91,251
343,1,13,46,252
344,0,12,137,253
345,0,8,137,254
346,0,2,137,255
347,0,2,137,256
348,0,2,134,256
349,0,12,137,257
350,0,6,137,258
351,2,0,123,259
352,0,1,173,260
353,0,1,116,260
354,0,25,56,261
355,0,25,56,262
356,0,3,137,263
357,0,12,137,264
358,0,3,137,265
359,0,12,134,266
360,1,60,112,267
361,1,0,92,268
362,1,2,43,268
363,0,24,123,269
364,0,24,74,269
365,0,24,43,269
366,0,1,48,270
367,0,1,74,270
368,0,1,157,270
369,0,1,39,270
370,1,3,34,271
371,0,10,137,272
372,2,34,43,273
373,0,65,141,274
374,0,20,34,275
375,0,10,53,276
376,0,40,123,276
377,0,9,137,277
378,0,9,137,278
379,0,12,90,279
380,2,0,123,279
381,1,0,91,279
382,0,3,53,280
383,5,5,99,281
384,0,10,53,282
385,0,30,32,283
386,0,6,53,284
387,0,25,74,285
388,2,4,91,285
389,10,20,123,286
390,0,8,137,287
391,0,9,137,288
392,0,55,89,289
393,0,24,85,290
394,0,24,22,290
395,0,24,17,290
396,0,1,38,290
397,0,6,43,291
398,0,1,23,292
399,0,10,25,293
400,0,6,31,294
401,0,50,44,295
402,0,25,16,296
403,0,16,137,297
404,0,2,91,298
405,0,6,123,298
406,0,6,53,298
407,1,30,66,299
408,2,1,43,300
409,4,8,126,301
410,0,1,104,302
411,0,12,53,303
412,0,12,74,303
413,0,12,43,303
414,1,34,141,304
415,0,1,48,304
416,0,1,62,304
417,0,1,90,304
418,0,1,58,304
419,0,1,43,304
420,0,1,122,304
421,0,12,20,305
422,2,0,43,305
423,0,24,85,306
424,2,44,53,307
425,0,3,137,308
426,0,8,137,309
427,0,0,181,310
428,0,24,74,311
429,0,24,43,311
430,0,16,137,312
431,0,9,137,313
432,0,0,280,314
433,0,1,280,315
434,0,1,281,315
435,0,1,282,315
436,0,1,200,315
437,0,1,201,315
438,0,1,202,315
439,0,1,203,315
440,0,1,194,315
441,0,1,195,315
442,0,1,196,315
443,0,1,197,315
444,0,10,13,316
445,0,7,53,317
446,0,3,72,318
447,2,4,123,319
448,0,4,137,320
449,3,0,137,321
450,0,10,137,322
451,6,12,43,323
452,0,1,42,324
453,0,15,23,325
454,0,1,193,326
455,0,1,193,327
456,0,1,193,328
457,0,1,193,329
459,0,24,137,331
460,0,1,134,332
461,0,24,65,333
462,1,0,68,333
463,0,12,115,333
464,0,8,91,334
465,2,24,53,335
466,0,12,99,336
467,0,1,122,337
468,0,8,123,338
469,0,8,53,338
470,0,1,69,339
471,0,30,94,340
472,0,10,137,341
473,0,4,137,342
474,0,4,134,342
475,0,5,137,343
476,1,4,57,344
477,2,0,94,345
478,0,50,107,346
479,0,30,53,347
480,0,2,53,348
481,0,1,195,349
482,0,1,196,349
483,0,1,197,349
484,0,1,198,349
485,0,1,214,349
486,0,1,215,349
487,0,1,210,350
488,0,1,211,350
489,0,1,226,351
490,0,1,227,351
491,0,1,215,352
492,0,1,216,352
493,0,1,217,352
494,0,1,272,353
495,0,1,273,353
496,0,1,270,353
497,0,1,271,353
498,0,1,194,354
499,0,4,195,354
500,0,2,196,354
501,0,1,197,354
502,0,1,270,355
503,0,1,271,355
504,0,1,272,355
505,0,1,194,356
506,0,1,195,356
507,0,1,196,356
508,0,2,197,356
509,0,1,198,356
510,0,1,210,357
511,0,1,211,357
512,0,1,212,357
513,0,1,213,357
514,0,3,223,357
515,0,3,222,357
516,0,1,242,357
517,0,1,243,357
518,0,1,244,357
519,0,1,241,357
520,0,3,254,357
521,0,3,257,357
522,0,3,256,357
523,0,7,219,357
524,0,2,280,357
525,0,2,281,357
526,0,3,282,357
527,0,3,283,357
528,0,2,195,358
529,0,1,216,358
530,0,1,196,358
531,0,1,197,358
532,0,2,215,358
533,0,1,238,358
534,0,1,237,358
535,0,1,236,358
536,0,1,217,358
537,0,1,194,358
538,0,5,219,359
539,0,1,211,359
540,0,1,212,359
541,0,2,213,359
542,0,4,267,360
543,0,4,259,360
544,0,2,261,360
545,0,1,204,360
546,0,2,205,360
547,0,2,206,360
548,0,1,212,360
549,0,1,213,360
550,0,1,230,360
551,0,1,231,360
552,0,3,221,360
553,0,1,214,361
554,0,2,215,361
555,0,1,216,361
556,0,1,236,361
557,0,1,237,361
558,0,2,238,361
559,0,1,279,362
560,0,1,280,362
561,0,1,281,362
562,0,1,241,363
563,0,1,242,363
564,0,1,243,363
565,0,1,244,363
566,0,1,204,363
567,0,1,205,363
568,0,1,206,363
569,0,1,194,364
570,0,2,195,364
571,0,2,196,364
572,0,1,197,364
573,0,1,240,364
574,0,1,241,364
575,0,1,242,364
576,0,1,243,364
577,0,1,204,364
578,0,1,205,364
579,0,1,206,364
585,0,0,211,366
586,0,0,212,366
587,0,0,221,366
588,0,0,219,366
589,0,0,220,366
590,0,0,258,366
591,0,0,254,366
593,0,24,91,367
594,2,0,43,367
595,2,0,123,367
596,0,1,99,367
597,0,1,20,367
598,0,1,48,367
599,0,1,92,367
600,1,2,123,368
601,1,2,53,368
602,0,60,82,369
603,1,0,137,371
604,0,1,280,372
605,0,1,281,372
606,0,1,282,372
607,0,4,221,372
608,0,6,219,372
609,0,6,220,372
610,0,2,258,372
611,0,2,254,372
612,0,2,257,372
613,0,1,215,372
614,0,1,216,372
615,0,1,211,372
616,0,1,212,372
617,1,0,320,373
618,1,0,321,373
619,1,0,322,373
620,0,1,324,373
621,0,1,325,373
622,0,1,326,373
623,1,0,328,373
624,1,0,329,373
625,1,0,330,373
626,0,1,281,373
627,0,1,282,373
628,0,1,241,374
629,0,1,242,374
630,0,1,243,374
631,0,1,205,375
632,0,1,207,375
633,0,1,280,375
634,0,1,281,375
635,0,1,282,375
636,0,1,271,375
637,0,1,272,375
638,0,1,273,375
639,0,2,221,375
640,0,2,267,375
641,0,2,258,375
642,0,1,215,375
643,0,1,216,375
644,0,1,217,375
645,0,1,211,375
646,0,1,212,375
647,0,1,213,375
648,1,0,284,376
649,0,1,285,376
650,0,2,286,376
651,0,1,287,376
652,0,1,288,376
653,1,0,274,376
654,0,1,275,376
655,0,2,276,376
656,1,0,277,376
657,1,0,278,376
658,0,1,269,376
659,0,1,270,376
660,0,2,271,376
661,0,1,272,376
662,0,1,273,376
663,1,0,289,376
664,0,1,290,376
665,0,2,291,376
666,0,1,292,376
667,0,1,293,376
668,0,1,201,377
669,0,1,202,377
670,0,1,203,377
671,0,2,219,378
672,0,1,211,378
673,0,1,212,378
674,0,1,213,378
677,0,1,187,380
679,0,1,185,382
680,0,1,180,382
681,0,1,183,383
682,0,1,186,383
683,0,8,134,384
684,0,9,137,385
685,0,1,137,386
686,0,6,137,387
687,0,10,134,388
688,0,1,184,389
689,0,1,182,389
690,0,1,210,390
691,0,1,211,390
692,0,1,212,390
693,0,1,213,390
694,0,3,223,390
695,0,1,222,390
696,0,1,241,390
697,0,1,242,390
698,0,3,254,390
699,0,3,257,390
700,0,3,256,390
701,0,7,219,390
702,0,2,280,390
703,0,2,281,390
704,0,3,282,390
705,0,3,283,390
706,0,2,258,391
707,0,2,255,391
708,0,2,254,391
709,0,1,263,391
710,1,0,264,391
711,0,2,259,391
712,0,1,260,391
713,1,0,300,391
714,1,0,301,391
715,0,2,298,391
716,1,0,199,392
717,0,1,200,392
718,0,1,201,392
719,0,1,202,392
720,0,1,203,392
721,0,1,141,393
722,0,1,53,393
723,0,1,91,393
724,0,1,195,394
725,0,1,196,394
726,0,1,197,394
727,0,2,257,395
728,1,0,328,395
729,0,1,324,395
730,0,1,293,395
731,1,0,304,395
732,0,1,310,395
733,1,0,302,395
734,1,0,303,395
735,0,1,225,395
736,0,1,226,395
737,1,0,235,395
738,0,1,237,395
739,0,1,203,395
740,0,1,99,396
741,0,1,94,396
742,0,1,9,396
743,0,1,115,396
744,0,1,116,397
745,1,0,53,398
746,2,0,43,398
747,1,12,123,398
748,1,12,74,398
749,0,50,141,399
750,8,16,53,399
751,0,25,117,399
752,2,4,103,400
753,0,10,53,401
754,1,22,85,402
755,0,1,270,403
756,0,1,271,403
757,0,1,209,404
758,0,1,210,404
759,0,1,211,404
760,0,1,212,404
761,0,1,213,404
762,0,1,230,404
763,0,1,231,404
764,0,1,232,404
765,0,1,269,404
766,0,1,270,404
767,0,1,271,404
768,0,1,272,404
769,0,1,273,404
770,0,1,255,404
771,0,2,254,404
772,0,2,258,404
773,0,1,237,405
774,0,1,280,405
775,0,1,281,405
776,0,1,275,405
777,0,1,276,405
778,0,1,214,406
779,0,1,215,406
780,0,1,216,406
781,0,1,217,406
782,0,1,195,406
783,0,1,196,406
784,0,1,197,406
785,0,1,249,406
786,0,1,250,406
787,0,1,251,406
788,0,1,252,406
789,0,1,209,407
790,0,1,210,407
791,0,1,211,407
792,0,1,212,407
793,0,1,213,407
794,0,1,230,407
795,0,1,231,407
796,0,1,232,407
797,0,1,269,407
798,0,1,270,407
799,0,1,271,407
800,0,1,272,407
801,0,1,273,407
802,0,1,255,407
803,0,2,254,407
804,0,2,258,407
805,0,1,241,408
806,0,1,242,408
807,1,0,331,408
808,0,7,219,408
809,0,10,221,408
810,0,10,220,408
811,0,8,257,408
812,0,6,254,408
813,0,4,307,408
814,0,4,308,408
815,0,1,207,409
816,0,1,208,409
817,0,1,217,409
818,0,1,218,409
819,0,1,212,409
820,0,1,213,409
821,0,2,259,410
822,0,3,267,410
823,0,1,271,411
824,0,1,272,411
825,0,1,215,411
826,0,1,212,411
827,0,1,225,412
828,0,1,280,412
829,0,2,270,413
830,0,2,271,413
831,0,1,272,413
832,0,1,273,413
833,0,28,1,414
834,1,32,87,415
835,1,7,126,416
836,0,1,339,417
837,0,2,309,417
838,0,2,308,417
839,0,2,314,417
840,0,1,338,417
841,0,1,233,418
842,0,1,232,418
843,0,1,240,418
844,0,1,227,418
845,0,2,219,418
846,0,2,221,418
847,1,0,342,419
848,1,0,343,419
849,1,0,344,419
850,1,0,345,419
851,0,1,279,419
852,0,1,280,419
853,0,1,281,419
854,0,1,282,419
855,0,2,265,419
856,0,2,227,420
857,0,2,228,420
858,0,2,229,420
859,0,1,232,420
860,0,1,233,420
861,0,1,234,420
862,0,3,271,420
863,0,6,272,420
864,0,6,273,420
865,0,2,281,420
866,0,4,282,420
867,0,4,283,420
868,0,2,291,420
869,0,4,292,420
870,0,4,293,420
871,0,2,219,421
872,0,2,221,421
873,0,1,214,422
874,0,2,215,422
875,0,2,216,422
876,0,1,217,422
877,0,1,270,423
878,0,1,271,423
879,0,1,272,423
880,0,1,273,423
881,0,1,210,423
882,0,1,212,423
883,0,1,214,423
884,0,1,206,423
885,2,0,123,424
886,0,25,123,425
887,0,15,91,425
888,0,10,43,425
889,0,10,53,425
890,1,0,141,426
891,0,75,108,427
892,2,0,53,428
893,2,34,126,429
894,0,6,16,430
895,1,0,53,431
896,0,24,53,432
897,0,1,202,433
898,0,1,203,433
899,0,1,210,433
900,0,1,211,433
901,0,1,212,433
902,0,1,202,434
903,0,1,203,434
904,0,1,210,434
905,0,1,211,434
906,0,1,212,434
907,0,1,259,435
908,0,1,261,435
909,0,1,290,435
910,0,1,292,435
911,0,1,280,435
912,0,1,282,435
913,0,2,219,435
914,0,2,221,435
915,0,2,220,435
916,0,1,222,435
917,0,1,224,435
918,0,1,223,435
919,0,1,337,436
920,0,1,338,436
921,0,1,339,436
922,0,1,340,436
923,0,1,341,436
924,0,1,216,437
925,0,1,200,438
926,0,1,201,438
927,0,1,202,438
928,0,1,203,438
929,0,6,219,438
930,0,2,258,438
931,0,2,254,438
932,0,1,205,438
933,0,1,207,438
934,0,2,215,439
935,0,1,216,439
936,0,1,211,439
937,0,1,212,439
938,0,1,333,439
939,0,1,334,439
940,0,1,335,439
941,0,1,269,441
942,0,1,270,441
943,0,1,271,441
944,0,1,272,441
945,0,1,232,441
946,0,1,233,441
947,0,3,267,443
948,0,3,268,443
949,0,3,259,443
950,0,3,260,443
951,0,1,242,444
952,0,1,226,444
953,0,2,137,445
954,0,2,134,445
955,1,24,72,446
956,0,1,116,447
957,0,1,211,448
958,0,1,212,448
959,0,1,213,448
960,0,1,216,448
961,0,1,217,448
962,0,1,218,448
963,0,6,16,449
964,0,2,22,450
965,1,17,43,451
966,0,24,53,451
967,0,15,48,451
968,0,24,65,452
969,0,24,68,452
970,0,48,15,452
971,0,8,137,453
972,0,1,272,454
973,0,1,273,454
974,0,1,269,454
975,0,1,270,454
976,0,1,271,454
977,0,2,255,454
978,0,2,258,454
979,0,1,404,454
980,0,1,405,454
981,0,1,406,454
982,0,1,407,454
983,0,1,408,454
984,0,1,385,454
985,0,1,387,454
986,0,1,389,454
987,0,6,427,454
988,0,2,362,455
989,0,1,363,455
990,0,1,195,455
991,0,2,196,455
992,0,1,197,455
993,0,1,240,455
994,0,2,241,455
995,0,1,242,455
996,0,3,427,455
997,0,1,87,456
998,2,33,108,457
999,0,12,137,458
1000,0,24,133,459
1001,3,0,133,460
1002,1,0,134,460
1003,0,43,91,461
1004,1,0,123,462
1005,0,24,53,462
1006,0,24,43,462
1007,0,36,33,463
1008,1,22,53,464
1009,2,29,74,465
1010,0,7,68,466
1011,0,10,25,467
1012,0,30,18,468
1013,0,10,25,469
1014,0,10,53,470
1015,0,6,68,471
1016,1,2,85,472
1017,2,0,123,473
1018,0,8,133,474
1019,0,3,133,475
1020,6,12,43,476
1021,1,12,123,477
1022,0,0,231,478
1023,0,0,231,480
1024,0,16,43,481
1025,0,4,91,481
1026,0,8,64,481
1027,0,10,99,481
1028,0,6,53,481
1029,0,3,48,481
1030,0,15,123,481
1031,0,40,13,482
1032,0,24,89,482
1033,0,24,137,483
1034,0,1,414,484
1035,0,1,415,484
1036,0,1,416,484
1037,0,1,350,484
1038,0,1,351,484
1039,0,1,352,484
1040,0,3,427,484
1041,0,1,200,485
1042,0,1,201,485
1043,0,1,202,485
1044,0,1,203,485
1045,0,3,427,485
1046,0,1,355,486
1047,0,1,356,486
1048,0,1,359,486
1049,0,1,360,486
1050,0,1,349,486
1051,0,1,350,486
1052,0,1,363,486
1053,0,1,364,486
1054,0,2,369,486
1055,0,1,370,486
1056,0,3,427,486
1057,0,1,390,487
1058,0,1,391,487
1059,0,1,392,487
1060,0,1,393,487
1061,0,1,386,487
1062,0,1,387,487
1063,0,3,427,487
1064,0,1,231,488
1065,0,1,232,488
1066,0,1,233,488
1067,0,1,215,488
1068,0,1,217,488
1069,0,1,211,488
1070,0,1,213,488
1071,0,3,427,488
1072,0,1,231,489
1073,0,1,215,490
1074,0,1,216,490
1075,0,1,217,490
1076,0,3,427,490
1077,0,1,404,491
1078,0,2,405,491
1079,0,1,406,491
1080,0,1,202,491
1081,0,1,203,491
1082,0,3,427,491
1083,0,1,421,492
1084,0,1,422,492
1085,0,2,423,492
1086,0,3,427,492
1087,0,1,374,492
1088,0,2,375,492
1089,0,2,376,492
1090,0,9,104,493
1091,2,0,91,494
1092,2,0,91,495
1093,0,1,216,496
1094,0,1,217,496
1095,0,1,218,496
1096,0,1,350,496
1097,0,1,351,496
1098,0,1,352,496
1099,0,2,299,496
1100,0,2,298,496
1101,0,2,319,496
1102,0,2,318,496
1103,0,1,359,496
1104,0,1,360,496
1105,0,1,361,496
1106,0,3,427,496
1107,0,1,357,497
1108,0,2,358,497
1109,0,1,391,497
1110,0,1,392,497
1111,0,1,269,498
1112,0,1,270,498
1113,0,1,271,498
1114,0,1,272,498
1115,0,1,231,498
1116,0,1,232,498
1117,0,1,233,498
1118,0,1,324,498
1119,0,1,325,498
1120,0,1,326,498
1121,0,1,323,498
1122,0,1,214,498
1123,0,1,215,498
1124,0,1,216,498
1125,0,1,210,498
1126,0,1,211,498
1127,0,1,212,498
1128,0,1,367,498
1129,0,1,368,498
1130,0,1,369,498
1131,0,9,427,498
1132,0,1,390,499
1133,0,1,391,499
1134,0,1,392,499
1135,0,1,393,499
1136,0,1,386,499
1137,0,1,387,499
1138,0,3,427,499
1139,0,1,382,500
1140,0,1,383,500
1141,0,1,378,500
1142,0,1,375,500
1143,0,1,368,500
1144,0,1,370,500
1145,0,1,422,501
1146,0,1,423,501
1147,0,1,417,501
1148,0,1,418,501
1149,0,2,427,501
1150,0,1,215,502
1151,0,1,216,502
1152,0,1,217,502
1153,0,1,368,502
1154,0,1,369,502
1155,0,1,370,502
1156,0,3,427,502
1157,0,2,392,503
1158,0,4,393,503
1159,0,4,394,503
1160,0,2,387,503
1161,0,4,388,503
1162,0,4,389,503
1163,0,6,427,503
1164,0,1,391,504
1165,0,1,392,504
1166,0,1,393,504
1167,0,1,348,505
1168,0,1,349,505
1169,0,1,350,505
1170,2,12,99,506
1171,3,0,116,507
1172,1,34,85,508
1173,1,22,43,509
1174,0,1,327,510
1175,0,2,328,510
1176,0,1,329,510
1178,0,1,232,510
1179,0,0,427,510
1180,0,1,421,511
1181,0,1,422,511
1182,0,1,272,511
1183,0,1,217,511
1184,0,1,218,511
1185,0,1,212,511
1186,0,1,395,512
1187,0,1,396,512
1188,0,1,397,512
1189,0,1,398,512
1190,0,1,399,512
1191,0,2,377,512
1192,0,1,378,512
1193,0,1,379,512
1194,0,1,380,512
1195,0,1,390,512
1196,0,1,391,512
1197,0,1,392,512
1198,0,1,393,512
1199,0,2,258,512
1200,0,1,254,512
1201,0,2,221,512
1202,0,2,219,512
1203,0,3,427,512
1204,0,1,390,513
1205,0,1,391,513
1206,0,1,392,513
1207,0,1,393,513
1208,0,1,386,513
1209,0,1,387,513
1210,0,1,404,514
1211,0,2,405,514
1212,0,1,406,514
1213,0,1,202,514
1214,0,1,203,514
1215,0,1,232,515
1216,0,1,233,515
1217,0,1,234,515
1218,0,1,420,515
1219,0,1,421,515
1220,0,1,315,515
1221,0,3,308,515
1222,0,2,307,515
1223,0,2,258,515
1224,0,2,221,515
1225,0,3,427,515
1226,0,4,404,516
1227,0,3,405,516
1228,0,1,407,516
1229,0,1,420,516
1230,0,2,370,516
1231,0,1,369,516
1232,0,1,368,516
1233,0,1,367,516
1234,0,1,351,516
1235,0,2,349,516
1236,0,1,352,516
1237,0,1,350,516
1238,0,1,368,517
1239,0,1,369,517
1240,0,1,370,517
1241,0,1,210,517
1242,0,1,211,517
1243,0,1,212,517
1244,0,1,204,517
1245,0,1,205,517
1246,0,1,206,517
1247,0,1,267,517
1248,0,1,263,517
1249,0,1,265,517
1250,0,2,255,517
1251,0,2,257,517
1252,0,2,258,517
1253,0,2,219,517
1254,0,2,221,517
1255,0,2,220,517
1256,0,5,427,517
1257,0,6,137,518
1258,0,8,137,519
1259,0,6,137,520
1260,0,5,137,521
1261,0,2,400,522
1262,0,2,401,522
1263,0,2,402,522
1264,0,2,403,522
1265,0,2,280,522
1266,0,2,281,522
1267,0,2,282,522
1268,0,1,283,522
1269,0,2,221,522
1270,0,4,219,522
1271,0,2,220,522
1272,0,4,427,522
1273,0,0,194,523
1274,0,1,422,524
1275,0,1,423,524
1276,0,1,215,525
1277,0,1,216,525
1278,0,1,217,525
1279,0,1,385,525
1280,0,1,386,525
1281,0,1,387,525
1282,0,1,306,526
1283,0,1,305,526
1284,0,1,215,526
1285,0,1,216,526
1286,0,1,249,526
1287,0,2,250,526
1288,0,1,251,526
1289,0,1,280,526
1290,0,1,281,526
1291,0,1,195,526
1292,0,1,196,526
1293,0,1,205,527
1294,0,1,206,527
1295,0,1,207,527
1296,0,1,201,527
1297,0,1,202,527
1298,0,2,221,527
1299,0,4,219,527
1300,0,2,427,527
1302,0,1,355,529
1303,0,1,356,529
1304,0,1,257,530
1305,0,2,258,530
1306,0,2,255,530
1307,0,2,256,530
1308,0,1,259,530
1309,0,1,260,530
1310,0,1,267,530
1311,0,1,268,530
1312,0,3,229,531
1313,0,0,228,531
1314,0,3,229,532
1315,0,2,228,532
1316,0,1,396,533
1317,0,1,397,533
1318,0,1,398,533
1319,0,1,238,533
1320,0,1,239,533
1321,0,1,367,533
1322,0,1,369,533
1323,0,1,424,533
1324,0,1,425,533
1325,0,1,426,533
1326,0,1,391,533
1327,0,1,393,533
1328,0,1,394,533
1329,0,1,385,533
1330,0,1,387,533
1331,0,1,314,533
1332,0,5,427,533
1333,0,5,229,534
1334,0,3,228,534
1335,0,8,103,535
1336,0,12,123,536
1337,0,12,74,536
1338,0,6,91,537
1339,0,6,123,537
1340,0,6,53,537
1341,0,25,189,538
1342,0,25,173,539
1343,0,12,137,540
1344,0,50,105,541
1345,0,2,43,542
1346,2,0,91,543
1347,0,24,123,543
1348,0,3,228,544
1349,0,5,229,544
1350,0,3,228,545
1351,0,5,229,545
1352,0,1,422,546
1353,0,50,105,547
1354,1,32,127,548
1355,0,2,43,549
1356,0,1,396,550
1357,0,1,397,550
1358,0,1,398,550
1361,0,3,427,550
1362,0,9,137,551
1363,0,9,137,552
1364,0,4,137,553
1365,0,3,137,554
1366,0,1,226,555
1367,0,30,53,556
1368,0,8,53,557
1369,0,1,51,558
1370,8,32,173,559
1371,0,6,118,560
1372,0,12,123,561
1373,0,24,91,561
1374,0,24,43,561
1375,0,6,91,562
