_id,user,name,number,case_quantity,description,qoh_case,qoh_units,case_weight,reorder_quantity,length,width,height,ship_ready,field15,field16,field17,field18,field19,field20,field21
60e5a6b920d52d35ed964c5a,60e5a6b920d52d35ed964c2b,Celebrate Martini Style Cocktail Shaker Set,A42010,48,Celebrate Martini Style Cocktail Shaker Set,1,18,9,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c5b,60e5a6b920d52d35ed964c2b,Cheese Markers Set,A93050,48,Cinq a sept Gourmet Cheese Markers (Set of 4),10,40,15,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c5c,60e5a6b920d52d35ed964c2b,Cherub Tea Light Holder,A41013,48,Angel Wishes Cherub Tea Light Candle Holder Favor,11,4,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c5d,60e5a6b920d52d35ed964c2b,Compact Mirror Damask,A72012,96,Diva in Damask Black and White Compact Mirror,4,29,15,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c5e,60e5a6b920d52d35ed964c2b,Couples Snow Globe,A41006,48,Forever In Love Couple Snow Globe Favor,0,0,32,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c5f,60e5a6b920d52d35ed964c2b,CROSS Cookie Cutters,A73001,96,Sweet Blessings Cross Cookie Cutters,0,0,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c60,60e5a6b920d52d35ed964c2b,Cross Prayer - Laser Etched (4pk),A51201,24,Cross Prayer - Laser Etched (4pk),0,10,53,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c61,60e5a6b920d52d35ed964c2b,CROSS SOAP,A75005,96,SOAP,0,37,14,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c62,60e5a6b920d52d35ed964c2b,Damask Favor Box - GOLD (24 pack),A21006,48,Damask Favor Box - GOLD (24 pack),5,30,10,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c63,60e5a6b920d52d35ed964c2b,Damask Favor Box (Pack of 24),A21000,48,Damask Favor Box (Pack of 24),3,35,10,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c64,60e5a6b920d52d35ed964c2b,Damask Photo Coaster (Set of 2),A51034,100,Damask Photo Coaster (Set of 2),17,24,36,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c65,60e5a6b920d52d35ed964c2b,Damask Photo Coaster (Set of 4),A51035,48,Damask Photo Coaster (Set of 4),3,0,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c66,60e5a6b920d52d35ed964c2b,Dbl Ring Romance Mini Photo Frame Place Card Hldr,A11008,96,Double Ring Romance Mini Photo Frame,0,0,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c67,60e5a6b920d52d35ed964c2b,Della Terra Olive Oil Soap,A75010,96,Della Terra Olive Oil Soap,1,0,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c68,60e5a6b920d52d35ed964c2b,Double Heart Spreader,A73010,96,Hearts Entwined Spreader,11,67,14,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c69,60e5a6b920d52d35ed964c2b,Double Ring Romance Brushed Photo Frame Favor,A11001,72,Double Ring Romance Brushed Photo Frame Favor,4,30,31,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6a,60e5a6b920d52d35ed964c2b,Doves Tea Light Holder,A41014,48,Love and Peace Dove Tea Light Candle Holder Favor,14,20,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6b,60e5a6b920d52d35ed964c2b,Elegance Photo Frame Favor in Bril Hammer Finish,A11002,48,Elegance Photo Frame Favor in Bril Hammer Finish,0,37,26,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6c,60e5a6b920d52d35ed964c2b,Espresso Cup Set - Bistro (Dbl Espresso) 2pk,A92005,48,Espresso Cup Set - Bistro (Dbl Espresso) 2pk,0,31,50,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6d,60e5a6b920d52d35ed964c2b,Espresso Cup Set - Damask,A92011,48,Dramatic Damask Espresso Cup Favor (Set of 2),0,15,50,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6e,60e5a6b920d52d35ed964c2b,ESPRESSO CUP SET- LOVE AMORE,A92015,48,Language of Love Espresso Cup Favor (Set of 2),4,5,50,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c6f,60e5a6b920d52d35ed964c2b,ESPRESSO CUP SET- PARIS,A92007,48,Paris is for Lovers Espresso Cup Favor (Set of 2),8,17,50,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c70,60e5a6b920d52d35ed964c2b,ESPRESSO CUP SINGLE- SWISH,A92020,36,Swish Esp Cup and Biscotti Plate Favor (Uno),0,0,17,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c71,60e5a6b920d52d35ed964c2b,ESPRESSO NAMES,A92025,48,ESPRESSO CUP SET,0,26,31,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c72,60e5a6b920d52d35ed964c2b,EV Olive Oil Dipping Recipe Bowls (Set of 2),A93046,48,EV Olive Oil Dipping Recipe Bowls (Set of 2),-1,46,23,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c73,60e5a6b920d52d35ed964c2b,Faith Hope & Charity Photo Coasters (Set of 2),A51030,100,Faith Hope & Charity Photo Coasters (Set of 2),11,8,36,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c74,60e5a6b920d52d35ed964c2b,Faith Hope & Charity Photo Coasters (Set of 4),A51031,48,Faith Hope & Charity Photo Coasters (Set of 4),5,47,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c75,60e5a6b920d52d35ed964c2b,FALL IN LOVE,A81011,24,CANDLE HOLDER,10,12,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c76,60e5a6b920d52d35ed964c2b,Flip Flop Pedicure Set,A72001,96,Flirty Flip Flop Pedicure Set,0,0,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c77,60e5a6b920d52d35ed964c2b,Four Seasons Appetizer/Serving Plate,A93045,24,Four Seasons Appetizer/Serving Plate,16,6,31,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c78,60e5a6b920d52d35ed964c2b,Frame 25 5x7,A11016,48,Frame 25 5x7,16,15,17,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c79,60e5a6b920d52d35ed964c2b,Glass Candle Holder - 2 Set Frosted,A81007,48,Floral Votive Candles in Display Box (Set of 2),14,45,28,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7a,60e5a6b920d52d35ed964c2b,Glass Picture Frame - Damask,A53106,48,Glass Picture Frame - Damask,10,19,46,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7b,60e5a6b920d52d35ed964c2b,GlassPicture Frame - Live-Love-Laugh,A53107,48,GlassPicture Frame - Live-Love-Laugh,-1,47,46,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7c,60e5a6b920d52d35ed964c2b,Grater - EVOO Dipping Plate,A93032,48,Grater - EVOO Dipping Plate,0,0,24,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7d,60e5a6b920d52d35ed964c2b,HEART PUZZLE Cookie Cutters,A73003,96,A Perfect Fit Heart Puzzle Cookie Cutters,1,33,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7e,60e5a6b920d52d35ed964c2b,Heart Shape BLUE Photo Coasters (2pk),A51029,100,Heart Shape BLUE Photo Coasters (2pk),0,0,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c7f,60e5a6b920d52d35ed964c2b,Heart Shape Photo Coasters (2pk),A51027,100,Heart Shape Photo Coasters (2pk),11,32,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c80,60e5a6b920d52d35ed964c2b,Heart Tea Infuser,A73008,96,Love is Brewing Heart Tea Infuser,5,41,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c81,60e5a6b920d52d35ed964c2b,Heart Treat Dish,A93047,48,Sweet Treats Heart Shaped Candy Bowl/Trinket Dish,2,46,11,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c82,60e5a6b920d52d35ed964c2b,Hearts Entwined Salt & Pepper Shakers,A93005,48,Hearts Entwined Salt & Pepper Shakers,0,0,13,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c83,60e5a6b920d52d35ed964c2b,Hearts in Love Glass Coaster (Set of 4),A51003,48,Hearts in Love Glass Coaster (Set of 4),2,0,42,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c84,60e5a6b920d52d35ed964c2b,HIGH HEEL COMPACT MIRROR,A72013,96,COMPACT MIRROR,0,0,14,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c85,60e5a6b920d52d35ed964c2b,Ice Cream Scoop,A93049,48,Ice Cream Dreams Porcelain Ice Cream Scoop,0,0,10,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c86,60e5a6b920d52d35ed964c2b,La Cantina Wine Aerator & Pourer,A61020,96,La Cantina Wine Aerator & Pourer,14,90,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c87,60e5a6b920d52d35ed964c2b,La Panetteria Bread Board with Dipping Dish,A93042,48,La Panetteria Bread Board with Dipping Dish,0,34,33,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c88,60e5a6b920d52d35ed964c2b,Leaf Napkin Rings (Set of 4),A61024,96,Elegance Leaf Napkin Rings,4,14,21,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c89,60e5a6b920d52d35ed964c2b,Leaf Photo Coaster (Set2),A51016,100,Leaf Photo Coaster (Set2),4,20,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8a,60e5a6b920d52d35ed964c2b,Leaf Photo Coaster (Set4),A51017,48,Leaf Photo Coaster (Set4),9,22,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8b,60e5a6b920d52d35ed964c2b,Little Angel Cherub Figurine Favors (Set of 4),A41002,48,MINI CHERUBS,0,0,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8c,60e5a6b920d52d35ed964c2b,Love Angel Figurine,A41011,96,Be In Love Angel Figurine Keepsake,8,6,17,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8d,60e5a6b920d52d35ed964c2b,Love Brown Pyramid Favor Box (Pack of 24),A21004,48,Love Brown Pyramid Favor Box (Pack of 24),4,24,11,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8e,60e5a6b920d52d35ed964c2b,Love Disposable Wedg Camera w/ Tbl Card (White),A31001,100,Love Disposable Wedg Camera w/ Tbl Card (White),0,0,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c8f,60e5a6b920d52d35ed964c2b,Love Doves Scented Soaps,A75001,96,Love Dove Scented Soaps,16,20,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c90,60e5a6b920d52d35ed964c2b,Love Espress Ceramic Espresso Cups 2pk,A92003,48,Love Espress Ceramic Espresso Cups 2pk,1,0,50,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c91,60e5a6b920d52d35ed964c2b,Love Infused Olive Oil & Balsamic Vinegar Plate,A93010,48,Love Infused Olive Oil & Balsamic Vinegar Plate,24,30,29,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c92,60e5a6b920d52d35ed964c2b,Love is Patient Heart Etched Crystal,A51205,36,Love is Patient Heart Etched Crystal,0,5,32,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c93,60e5a6b920d52d35ed964c2b,Love is... Photo Coaster (Set of 2),A51032,100,Love is... Photo Coaster (Set of 2),22,55,36,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c94,60e5a6b920d52d35ed964c2b,Lucky Elephant Ring Holder in Gold (4 Pack),A94060,24,Lucky Elephant Ring Holder in Gold (4 Pack),3,1,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c95,60e5a6b920d52d35ed964c2b,Luggage Tags - Mine-Not Yours,A74003,96,Mine Not Yours His & Hers Luggage Tag Set,8,3,18,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c96,60e5a6b920d52d35ed964c2b,Makeup Brush Set,A72011,96,Pretty in Pink Polka Dot Makeup Brush Kit,5,54,11,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c97,60e5a6b920d52d35ed964c2b,Measuring Spoons (Baby),A73007,96,The Measure of Love Heart Measuring Spoon Set-Wht,0,0,25,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c98,60e5a6b920d52d35ed964c2b,Measuring Spoons (Black Box),A73006,96,The Measure of Love Heart Measuring Spoon Set-Blk,0,0,26,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c99,60e5a6b920d52d35ed964c2b,Mem Forever Frstd Glass Photo Coaster (Set of 2),A51000,100,Mem Forever Frstd Glass Photo Coaster (Set of 2),8,43,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9a,60e5a6b920d52d35ed964c2b,Memories Black Photo Coaster (Set2),A51010,100,Memories Black Photo Coaster (Set2),2,33,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9b,60e5a6b920d52d35ed964c2b,Memories Black Photo Coaster (Set4),A51011,48,Memories Black Photo Coaster (Set4),3,22,35,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9c,60e5a6b920d52d35ed964c2b,MINI CHERUB SNOW GLOBE,A41005,48,MINI CHERUB SNOW GLOBE,11,27,38,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9d,60e5a6b920d52d35ed964c2b,MORROCCON ESPRESSO CUPS,A92024,48,ESPRESSO CUP SET,0,2,31,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9e,60e5a6b920d52d35ed964c2b,Mr. & Mrs. Espresso Cup Set in Gold (Set of 2),A92026,48,Mr. & Mrs. Espresso Cup Set in Gold (Set of 2),14,31,45,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964c9f,60e5a6b920d52d35ed964c2b,Mr.Mrs Coaster Round (Set 2),A51018,100,Mr.Mrs Coaster Round (Set 2),0,0,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca0,60e5a6b920d52d35ed964c2b,Necklace Rosary,A45000,96,Necklace Rosary,6,31,13,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca1,60e5a6b920d52d35ed964c2b,Nut Dish,A93048,48,Acorn Serving Bowl,9,32,49,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca2,60e5a6b920d52d35ed964c2b,Olives Oil & Vinegar Dish,A93012,48,Taste of the Orchard Oil-Vinegar Plate,20,15,49,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca3,60e5a6b920d52d35ed964c2b,OV Oil and Vinegar Bottle Cruet Set,A94045,48,OV Oil and Vinegar Bottle Cruet Set,4,31,31,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca4,60e5a6b920d52d35ed964c2b,Palm Tree Coaster (Set4),A51021,48,Palm Tree Coaster (Set4),2,31,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca5,60e5a6b920d52d35ed964c2b,Pear Spoon Rest,A93022,48,The Perfect Pair Porcelain Spoon Rest,0,21,18,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca6,60e5a6b920d52d35ed964c2b,PlaceCard Frame- LiveLove Black (4 Pack),A53101,24,PlaceCard Frame- LiveLove Black (4 Pack),0,-6,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca7,60e5a6b920d52d35ed964c2b,PlaceCard Frame- LiveLove White (4 Pack),A53102,24,PlaceCard Frame- LiveLove White (4 Pack),0,4,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca8,60e5a6b920d52d35ed964c2b,PlaceCard Frame- Snowflake (4 Pack),A53100,24,PlaceCard Frame- Snowflake (4 Pack),0,5,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ca9,60e5a6b920d52d35ed964c2b,Porcelain Cake Server,A93051,48,Porcelain Cake Server,0,0,32,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964caa,60e5a6b920d52d35ed964c2b,Primi Piatti Appetizer Serving & Dipping Platter,A94044,24,Primi Piatti Appetizer Serving & Dipping Platter,2,16,44,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cab,60e5a6b920d52d35ed964c2b,Purse Favor Box (Pack of 24),A21001,48,Purse Favor Box (Pack of 24),3,34,10,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cac,60e5a6b920d52d35ed964c2b,Purse Manicure Set,A72002,96,Perfectly Polished Purse Manicure Set,0,0,23,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cad,60e5a6b920d52d35ed964c2b,Shiny w/Black Finish 4x6,A11015,48,Shiny w/Black Finish 4x6,19,39,17,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cae,60e5a6b920d52d35ed964c2b,Silicon Rolling Pin,A74000,48,Something Blue Rolling Pin,1,35,18,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964caf,60e5a6b920d52d35ed964c2b,SNOWFLAKE,A81010,24,CANDLE HOLDER,4,11,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb0,60e5a6b920d52d35ed964c2b,Snowflake Coaster (Set2),A51014,100,Snowflake Coaster (Set2),0,0,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb1,60e5a6b920d52d35ed964c2b,Snowflake Coaster (Set4),A51015,48,Snowflake Coaster (Set4),4,35,34,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb2,60e5a6b920d52d35ed964c2b,Snowflake Napkin Rings (Set of 4),A61025,96,Winter Wishes Snowflake Napkin Rings,1,57,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb3,60e5a6b920d52d35ed964c2b,Snowflake Spreader,A73009,96,Holiday Wishes Snowflake Spreader,0,0,14,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb4,60e5a6b920d52d35ed964c2b,Stamped with Love Scented Soaps,A75003,96,Stamped with Love Scented Soaps,13,11,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb5,60e5a6b920d52d35ed964c2b,Starfish Scented Soaps,A75004,96,Starfish Scented Soaps,0,0,12,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb6,60e5a6b920d52d35ed964c2b,Stopper - Bless this Day (flat),A61010,100,Stopper - Bless this Day (flat),0,45,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb7,60e5a6b920d52d35ed964c2b,Stopper - Double Happiness (upright),A61006,100,Stopper - Double Happiness (upright),3,84,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb8,60e5a6b920d52d35ed964c2b,Stopper - Leaf Copper (upright),A61009,100,Stopper - Leaf Copper (upright),0,0,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cb9,60e5a6b920d52d35ed964c2b,Stopper DoubleHeart (upright),A61012,100,Stopper DoubleHeart (upright),0,20,22,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cba,60e5a6b920d52d35ed964c2b,Sweetheart Porcelain Sugar Bowl,A93015,48,Sweetheart Porcelain Sugar Bowl,2,22,37,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cbb,60e5a6b920d52d35ed964c2b,SWISH CUP,A92021,16,TEA CUP,0,0,32,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cbc,60e5a6b920d52d35ed964c2b,Taste of the Vineyard Vinegar Bottle,A93026,48,Taste of the Vineyard Vinegar Bottle,7,16,23,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cbd,60e5a6b920d52d35ed964c2b,Tea Light Votive - BlkFrst Single,A81009,24,Tea Light Votive - BlkF 4 packs rst Single,6,13,20,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cbe,60e5a6b920d52d35ed964c2b,Two Hearts Espresso Cup Set (Set of 2),A92022,36,Two Hearts Espresso Cup Set (Set of 2),0,9,38,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cbf,60e5a6b920d52d35ed964c2b,Victorian Spreader,A73011,96,Spread the Love Victorian Spreader,11,36,14,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc0,60e5a6b920d52d35ed964c2b,Victorian Tea Porcelain Tea Caddy,A93020,48,Victorian Tea Porcelain Tea Caddy,12,28,21,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc1,60e5a6b920d52d35ed964c2b,VINEYARD DIPPING PLATE,A93031,16,VINEYARD DIPPING PLATE 4 PACK,0,0,36,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc2,60e5a6b920d52d35ed964c2b,Vineyard Olive Oil & Balsamic Vinegar Plate,A93011,48,Vineyard Olive Oil & Balsamic Vinegar Plate,17,4,29,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc3,60e5a6b920d52d35ed964c2b,Vinyard Estate Wine Bottle Coaster,A42012,48,Vinyard Estate Wine Bottle Coaster,17,24,5,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc4,60e5a6b920d52d35ed964c2b,White Coffee Makers,A52001,12,White Coffee Makers,0,96,9,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc5,60e5a6b920d52d35ed964c2b,Wine Shape Appetizer-Cheese Board (Bamboo),A35002,48,Wine Shape Appetizer-Cheese Board (Bamboo),0,0,33,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc6,60e5a6b920d52d35ed964c2b,Winter Wonderland Tea Light Candle Holder,A94041,48,Winter Wonderland Tea Light Candle Holder,0,24,15,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc7,60e5a6b920d52d35ed964c2b,X & O Cookie Cutters,A73005,96,XO Best Wishes Cookie Cutter Set,0,7,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc8,60e5a6b920d52d35ed964c2b,X & O Letter Opener,A61022,96,Hugs & Kisses Letter Opener,5,74,4,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cc9,60e5a6b920d52d35ed964c2a,Plastic record frame 28 ct,1001028,28,Plastic record frame 28 ct,0,0,14,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cca,60e5a6b920d52d35ed964c2a,Plastic Record Frame 50ct,1001050,50,Plastic Record Frame 50ct,0,0,23,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ccb,60e5a6b920d52d35ed964c2a,Records On Walls Sample,1001001,1,Retailer Sample,0,0,1,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ccc,60e5a6b920d52d35ed964c2a,Plastic Record Frames 40,,40,Black Album holders with UPC,0,0,19,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ccd,60e5a6b920d52d35ed964c2a,PLASTIC RECORD FRAMES WHITE,1001040W,40,WHITE PLASTIC RECORD FRAMES,5,9,19,0,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cce,60e5a6b920d52d35ed964c28,Plastic Record Frames 40,1002040B,40,Black Album holders with UPC,16,32,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964ccf,60e5a6b920d52d35ed964c2a,Plastic Record Frames BLACK WITH UPC 40,1002040B,40,Black Album holders with UPC,10,29,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cd0,60e5a6b920d52d35ed964c2a,PLASTIC RECORD FRAMES BLACK,1001040B,40,BLACK RECORD FRAMES,0,0,19,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cd1,60e5a6b920d52d35ed964c29,Test Item AD1,A93012,48,Taste of the Orchard Oil-Vinegar Plate,48,22,46,5,0,0,0,0,,,,,,,
60e5a6b920d52d35ed964cd2,60e5a6b920d52d35ed964c29,Test Item AD2,A92021,16,TEA CUP,19,8,32,5,0,0,0,0,,,,,,,
